melody_id,melody_degree,note_onset,note_midi_value,note_velocity,participant_id,bar_number
1,1,0,64,90,1,4
1,2,1680,64,80,1,4
1,3,1760,64,80,1,4
1,4,1840,64,80,1,4
1,5,1920,64,80,1,4
1,6,2160,64,80,1,4
1,7,2240,64,80,1,4
1,8,2320,64,80,1,4
1,9,2400,64,80,1,4
1,10,2640,64,80,1,4
1,11,2720,64,80,1,4
1,12,2800,64,80,1,4
1,13,2880,64,80,1,4
1,14,3120,76,80,1,4
1,15,3200,75,80,1,4
1,16,3280,74,80,1,4
1,17,3360,73,80,1,4
1,18,4560,73,80,1,4
1,19,4640,76,80,1,4
1,20,4720,76,80,1,4
1,21,4800,76,80,1,4
1,22,5520,76,80,1,4
1,23,5600,76,80,1,4
1,24,5680,76,80,1,4
1,25,5760,75,80,1,4
1,26,6000,75,80,1,4
1,27,6080,75,80,1,4
1,28,6160,75,80,1,4
1,29,6240,73,80,1,4
1,30,6480,76,80,1,4
1,31,6560,75,80,1,4
1,32,6640,75,80,1,4
1,33,6720,73,80,1,4
1,34,7440,73,80,1,4
1,35,7520,76,80,1,4
1,36,7600,76,80,1,4
2,1,0,74,120,1,4
2,2,80,73,80,1,4
2,3,160,74,80,1,4
2,4,240,72,80,1,4
2,5,320,74,80,1,4
2,6,400,71,80,1,4
2,7,480,74,80,1,4
2,8,840,70,80,1,4
2,9,960,78,80,1,4
2,10,1440,86,80,1,4
2,11,1800,85,87,1,4
2,12,1920,86,90,1,4
2,13,2400,78,90,1,4
2,14,3360,87,90,1,4
2,15,3840,87,90,1,4
2,16,5280,92,90,1,4
2,17,5760,87,90,1,4
2,18,6240,87,90,1,4
2,19,6360,87,90,1,4
2,20,6480,87,90,1,4
2,21,6600,87,90,1,4
2,22,6720,87,90,1,4
2,23,7360,85,90,1,4
2,24,7520,83,90,1,4
3,1,0,53,80,2,4
3,2,1440,46,80,2,4
3,3,1800,46,80,2,4
3,4,1920,54,80,2,4
3,5,3240,51,96,2,4
3,6,3360,46,96,2,4
3,7,3520,51,96,2,4
3,8,3680,54,96,2,4
3,9,3840,56,96,2,4
3,10,4960,49,96,2,4
3,11,5120,51,96,2,4
3,12,5280,53,96,2,4
3,13,5440,54,96,2,4
3,14,5600,56,96,2,4
3,15,5760,58,127,2,4
3,16,6720,60,127,2,4
4,1,0,50,80,2,4
4,2,480,53,80,2,4
4,3,1440,53,80,2,4
4,4,1800,53,80,2,4
4,5,1920,58,80,2,4
4,6,3240,53,80,2,4
4,7,3360,50,80,2,4
4,8,3520,53,80,2,4
4,9,3680,58,80,2,4
4,10,3840,59,80,2,4
4,11,5760,60,80,2,4
4,12,7080,55,80,2,4
4,13,7200,52,80,2,4
4,14,7360,55,80,2,4
4,15,7520,60,80,2,4
5,1,0,52,80,2,4
5,2,160,48,80,2,4
5,3,320,52,80,2,4
5,4,480,55,80,2,4
5,5,1120,52,80,2,4
5,6,1280,55,80,2,4
5,7,1440,58,80,2,4
5,8,1920,58,80,2,4
5,9,2080,57,80,2,4
5,10,2240,55,80,2,4
5,11,2400,53,80,2,4
5,12,2560,52,80,2,4
5,13,2720,50,80,2,4
5,14,2880,48,80,2,4
5,15,3040,50,80,2,4
5,16,3200,48,80,2,4
5,17,3360,46,80,2,4
5,18,3520,45,80,2,4
5,19,3680,43,80,2,4
5,20,3840,41,80,2,4
6,1,1080,58,80,3,4
6,2,1200,62,80,3,4
6,3,1320,67,80,3,4
6,4,1440,67,80,3,4
6,5,1560,66,80,3,4
6,6,1680,69,80,3,4
6,7,1800,60,80,3,4
6,8,1920,60,80,3,4
6,9,2040,58,49,3,4
6,10,2160,62,49,3,4
6,11,2280,67,49,3,4
6,12,2400,67,49,3,4
6,13,2520,66,49,3,4
6,14,2640,69,49,3,4
6,15,2760,72,49,3,4
6,16,2880,70,49,3,4
6,17,3120,67,49,3,4
7,1,0,70,80,3,4
7,2,240,75,80,3,4
7,3,360,74,80,3,4
7,4,480,75,80,3,4
7,5,600,70,80,3,4
7,6,720,68,80,3,4
7,7,840,67,80,3,4
7,8,960,65,80,3,4
7,9,1080,63,80,3,4
7,10,1200,72,80,3,4
7,11,1440,70,80,3,4
7,12,1920,75,80,3,4
7,13,2160,75,80,3,4
7,14,2280,74,80,3,4
7,15,2400,77,80,3,4
7,16,2520,75,80,3,4
7,17,2640,74,80,3,4
7,18,2760,72,80,3,4
7,19,2880,70,80,3,4
7,20,3000,68,80,3,4
7,21,3120,67,80,3,4
7,22,3240,65,80,3,4
7,23,3360,63,80,3,4
8,1,0,68,80,3,4
8,2,120,67,80,3,4
8,3,240,68,80,3,4
8,4,600,65,80,3,4
8,5,720,70,80,3,4
8,6,840,68,80,3,4
8,7,960,67,80,3,4
8,8,1080,68,80,3,4
8,9,1200,67,80,3,4
8,10,1320,65,80,3,4
8,11,1440,67,80,3,4
8,12,1560,63,80,3,4
8,13,1680,68,80,3,4
8,14,1800,63,80,3,4
8,15,1920,65,80,3,4
8,16,2040,63,80,3,4
8,17,2160,65,80,3,4
8,18,2520,62,80,3,4
8,19,2640,67,80,3,4
8,20,2760,63,80,3,4
8,21,2880,63,80,3,4
8,22,3000,62,80,3,4
8,23,3120,63,80,3,4
8,24,3240,65,80,3,4
8,25,3360,67,80,3,4
9,1,0,67,80,4,4
9,2,360,65,80,4,4
9,3,480,64,80,4,4
9,4,720,65,80,4,4
10,1,0,60,80,5,4
10,2,720,63,80,5,4
10,3,960,68,80,5,4
10,4,1680,72,80,5,4
10,5,1920,70,80,5,4
10,6,2640,72,80,5,4
10,7,2760,74,80,5,4
10,8,2880,75,80,5,4
10,9,3000,74,80,5,4
10,10,3120,72,80,5,4
10,11,3240,70,80,5,4
10,12,3360,68,80,5,4
10,13,3480,67,80,5,4
10,14,3600,65,80,5,4
10,15,3720,63,80,5,4
10,16,3840,70,80,5,4
10,17,4080,68,80,5,4
10,18,4320,67,80,5,4
10,19,5280,65,80,5,4
10,20,5760,63,80,5,4
11,1,0,66,80,6,4
11,2,960,68,80,6,4
11,3,1200,66,80,6,4
11,4,1440,64,80,6,4
11,5,1680,63,80,6,4
11,6,1920,70,80,6,4
11,7,2400,66,80,6,4
11,8,2880,75,80,6,4
11,9,3840,76,80,6,4
11,10,4080,75,80,6,4
11,11,4320,73,80,6,4
11,12,4560,71,80,6,4
11,13,4800,73,80,6,4
11,14,5280,66,80,6,4
12,1,1440,66,49,6,4
12,2,2880,75,49,6,4
12,3,4320,75,49,6,4
13,1,2400,76,49,7,4
13,2,2820,77,49,7,4
13,3,2880,81,49,7,4
13,4,4320,73,49,7,4
13,5,4740,76,49,7,4
13,6,4800,74,49,7,4
13,7,5280,72,49,7,4
13,8,5700,70,49,7,4
13,9,5760,69,49,7,4
13,10,6240,67,49,7,4
13,11,7200,72,49,7,4
13,12,7620,73,49,7,4
14,1,900,69,33,7,4
14,2,960,71,33,7,4
14,3,1830,69,33,7,4
14,4,1860,71,33,7,4
14,5,1890,69,33,7,4
14,6,1920,71,33,7,4
14,7,2310,69,33,7,4
14,8,2340,71,33,7,4
14,9,2370,69,33,7,4
14,10,2400,71,33,7,4
14,11,3000,69,33,7,4
14,12,3120,71,33,7,4
14,13,3240,72,33,7,4
14,14,3360,74,33,7,4
14,15,3480,72,33,7,4
14,16,3600,71,33,7,4
14,17,3720,69,33,7,4
14,18,3840,71,33,7,4
14,19,4080,74,33,7,4
14,20,4320,71,33,7,4
14,21,4354,74,33,7,4
14,22,4388,71,33,7,4
14,23,4800,69,33,7,4
14,24,6000,66,33,7,4
14,25,6240,67,33,7,4
14,26,6480,75,33,7,4
14,27,6720,74,33,7,4
15,1,0,53,80,8,4
15,2,960,57,80,8,4
15,3,1200,58,80,8,4
15,4,1440,61,80,8,4
15,5,1680,65,80,8,4
15,6,1920,66,80,8,4
15,7,2880,57,80,8,4
15,8,3720,58,80,8,4
15,9,3840,58,80,8,4
16,1,0,53,80,9,4
16,2,120,62,80,9,4
16,3,240,71,80,9,4
16,4,360,80,80,9,4
16,5,480,79,80,9,4
16,6,1200,71,80,9,4
16,7,1440,72,80,9,4
16,8,1680,67,80,9,4
16,9,1920,77,80,9,4
16,10,2400,77,80,9,4
16,11,2520,75,80,9,4
16,12,2640,74,80,9,4
16,13,2760,75,80,9,4
16,14,2880,72,80,9,4
16,15,3360,71,80,9,4
16,16,3600,69,80,9,4
16,17,3840,71,80,9,4
16,18,4320,74,80,9,4
16,19,4680,75,80,9,4
16,20,4740,77,80,9,4
16,21,4800,70,80,9,4
16,22,4829,72,80,9,4
16,23,4859,70,80,9,4
16,24,4890,72,80,9,4
16,25,4919,70,80,9,4
16,26,4949,72,80,9,4
16,27,4980,70,80,9,4
16,28,5009,72,80,9,4
16,29,5039,70,80,9,4
16,30,5070,72,80,9,4
16,31,5099,70,80,9,4
16,32,5129,72,80,9,4
16,33,5160,70,80,9,4
16,34,5189,72,80,9,4
16,35,5219,70,80,9,4
16,36,5250,72,80,9,4
16,37,5279,70,80,9,4
16,38,5309,72,80,9,4
16,39,5340,70,80,9,4
16,40,5369,72,80,9,4
16,41,5399,70,80,9,4
16,42,5430,72,80,9,4
16,43,5459,70,80,9,4
16,44,5489,72,80,9,4
16,45,5520,70,80,9,4
17,1,0,53,80,9,4
17,2,120,68,80,9,4
17,3,240,73,80,9,4
17,4,360,77,80,9,4
17,5,480,73,80,9,4
17,6,600,68,80,9,4
17,7,720,65,80,9,4
17,8,840,61,80,9,4
17,9,960,80,80,9,4
17,10,1080,71,80,9,4
17,11,1140,72,80,9,4
17,12,1200,74,80,9,4
17,13,1320,65,80,9,4
17,14,1440,63,80,9,4
17,15,1560,67,80,9,4
17,16,1680,72,80,9,4
17,17,1800,79,80,9,4
17,18,1920,77,80,9,4
17,19,2040,71,80,9,4
17,20,2160,72,80,9,4
17,21,2280,75,80,9,4
17,22,2400,67,80,9,4
17,23,2520,72,80,9,4
17,24,2640,74,80,9,4
17,25,2760,71,80,9,4
17,26,2880,72,80,9,4
17,27,3000,60,80,9,4
17,28,3120,63,80,9,4
17,29,3240,67,80,9,4
17,30,3360,65,80,9,4
17,31,3480,63,80,9,4
17,32,3600,62,80,9,4
17,33,3720,60,80,9,4
17,34,3840,58,80,9,4
17,35,3960,56,80,9,4
17,36,4080,58,80,9,4
17,37,4200,55,80,9,4
17,38,4320,56,80,9,4
17,39,4440,72,80,9,4
17,40,4560,70,80,9,4
17,41,4680,67,80,9,4
17,42,4800,68,80,9,4
17,43,4920,64,80,9,4
17,44,5040,65,80,9,4
17,45,5160,68,80,9,4
17,46,5280,72,80,9,4
17,47,5400,75,80,9,4
17,48,5520,74,80,9,4
17,49,5640,71,80,9,4
18,1,0,65,80,10,4
18,2,240,65,80,10,4
18,3,480,77,80,10,4
