melody_id,melody_degree,note_onset,note_midi_value,note_velocity,participant_id,bar_number
1,1,5760, 64,90,1,4
1,2,6000, 69,90,1,4
1,3,6240, 64,90,1,4
1,4,6480, 64,90,1,4
1,5,6560, 64,90,1,4
1,6,6640, 64,90,1,4
1,7,6720, 64,90,1,4
1,8,6960, 69,90,1,4
1,9,7200, 64,90,1,4
1,10,7440, 69,90,1,4
1,11,7520, 69,90,1,4
1,12,7600, 69,90,1,4
2,1,0, 75,80,1,4
2,2,960, 75,80,1,4
2,3,1200, 76,80,1,4
2,4,1680, 80,80,1,4
2,5,1720, 76,80,1,4
2,6,1760, 71,80,1,4
2,7,1800, 68,80,1,4
2,8,1840, 71,80,1,4
2,9,1880, 76,80,1,4
2,10,1920, 73,60,1,4
2,11,2640, 66,60,1,4
2,12,2720, 66,60,1,4
2,13,2800, 66,60,1,4
2,14,2880, 66,60,1,4
2,15,4080, 66,60,1,4
2,16,5040, 66,60,1,4
2,17,6000, 66,60,1,4
2,18,6480, 78,60,1,4
2,19,7200, 78,80,1,4
2,20,7560, 76,80,1,4
3,1,5760, 58,112,2,4
3,2,7080, 53,112,2,4
3,3,7200, 50,112,2,4
3,4,7360, 46,112,2,4
3,5,7520, 50,112,2,4
4,1,1920, 62,112,2,4
4,2,3240, 57,112,2,4
4,3,3360, 54,112,2,4
4,4,3520, 50,112,2,4
4,5,3680, 54,112,2,4
4,6,3840, 57,112,2,4
4,7,4560, 57,112,2,4
4,8,4800, 60,112,2,4
4,9,5520, 58,112,2,4
4,10,5760, 57,112,2,4
4,11,7080, 54,112,2,4
4,12,7200, 50,112,2,4
4,13,7360, 45,112,2,4
4,14,7520, 42,112,2,4
5,1,0, 56,80,2,4
5,2,160, 53,80,2,4
5,3,320, 49,80,2,4
5,4,480, 53,80,2,4
5,5,640, 49,80,2,4
5,6,800, 44,80,2,4
5,7,960, 49,80,2,4
5,8,1120, 44,80,2,4
5,9,1280, 41,80,2,4
5,10,1440, 44,80,2,4
5,11,1760, 37,80,2,4
5,12,1920, 41,80,2,4
5,13,2160, 44,80,2,4
5,14,2400, 49,80,2,4
5,15,2640, 53,80,2,4
5,16,2880, 56,80,2,4
5,17,3360, 47,80,2,4
5,18,3840, 48,80,2,4
5,19,5280, 60,80,2,4
5,20,5640, 60,80,2,4
5,21,5760, 65,80,2,4
5,22,7080, 60,80,2,4
5,23,7200, 56,80,2,4
5,24,7360, 53,80,2,4
5,25,7520, 56,80,2,4
6,1,0, 79,80,3,4
6,2,240, 74,80,3,4
6,3,480, 67,80,3,4
6,4,720, 74,80,3,4
6,5,1080, 67,80,3,4
6,6,1200, 72,80,3,4
6,7,1320, 70,80,3,4
6,8,1440, 69,80,3,4
6,9,1920, 69,80,3,4
6,10,2400, 67,80,3,4
6,11,3120, 69,80,3,4
6,12,3240, 67,80,3,4
6,13,3360, 66,80,3,4
7,1,0, 69,80,3,4
7,2,120, 72,80,3,4
7,3,240, 72,80,3,4
7,4,360, 70,80,3,4
7,5,480, 69,80,3,4
7,6,600, 69,80,3,4
7,7,720, 69,80,3,4
7,8,840, 67,80,3,4
7,9,960, 66,80,3,4
7,10,1080, 69,80,3,4
7,11,1200, 69,80,3,4
7,12,1320, 75,80,3,4
7,13,1440, 74,80,3,4
7,14,1680, 72,80,3,4
7,15,1920, 70,80,3,4
7,16,2400, 69,80,3,4
7,17,2880, 67,80,3,4
7,18,3120, 74,80,3,4
7,19,3360, 76,80,3,4
7,20,3600, 78,80,3,4
8,1,0, 58,80,3,4
8,2,120, 61,80,3,4
8,3,240, 60,80,3,4
8,4,360, 63,80,3,4
8,5,480, 55,80,3,4
8,6,600, 58,80,3,4
8,7,720, 56,80,3,4
8,8,840, 60,80,3,4
8,9,960, 58,96,3,4
8,10,1440, 63,96,3,4
8,11,1560, 65,96,3,4
8,12,1680, 67,96,3,4
8,13,1800, 68,96,3,4
8,14,1920, 70,96,3,4
8,15,2160, 70,96,3,4
8,16,2640, 68,96,3,4
8,17,2760, 67,96,3,4
8,18,2880, 68,96,3,4
8,19,3120, 68,96,3,4
8,20,3600, 67,96,3,4
