melody_id,melody_degree,note_onset,note_midi_value,note_velocity,participant_id,bar_number
1,1,0, 71,90,1,1
1,2,240, 76,90,1,1
1,3,480, 75,90,1,1
1,4,720, 74,90,1,1
1,5,800, 73,90,1,1
1,6,880, 71,90,1,1
1,7,960, 69,90,1,1
1,8,1200, 69,90,1,1
1,9,1280, 71,90,1,1
1,10,1360, 71,90,1,1
1,11,1440, 64,90,1,1
2,1,0, 74,80,1,5
2,2,360, 73,80,1,5
2,3,480, 74,80,1,5
2,4,840, 71,80,1,5
2,5,960, 78,80,1,5
2,6,1440, 83,80,1,5
2,7,1800, 82,80,1,5
2,8,1920, 83,80,1,5
2,9,2400, 78,80,1,5
2,10,3360, 78,80,1,5
2,11,3720, 76,80,1,5
3,1,0, 53,112,2,6
3,2,1440, 41,49,2,6
3,3,1920, 46,49,2,6
3,4,2640, 48,49,2,6
3,5,2880, 50,49,2,6
3,6,3360, 53,49,2,6
3,7,3600, 51,49,2,6
3,8,3840, 50,49,2,6
3,9,4320, 48,49,2,6
3,10,5280, 41,49,2,6
3,11,5760, 48,49,2,6
3,12,6480, 50,49,2,6
3,13,6720, 51,49,2,6
3,14,6880, 50,49,2,6
3,15,7040, 51,49,2,6
3,16,7200, 55,49,2,6
3,17,7560, 53,49,2,6
3,18,7680, 51,49,2,6
3,19,8160, 50,49,2,6
3,20,9120, 46,80,2,6
3,21,9480, 46,80,2,6
3,22,9600, 54,80,2,6
3,23,10920, 51,80,2,6
3,24,11040, 46,80,2,6
3,25,11200, 51,80,2,6
3,26,11360, 54,80,2,6
4,1,0, 38,80,2,5
4,2,1440, 50,49,2,5
4,3,1920, 58,49,2,5
4,4,2400, 57,49,2,5
4,5,2760, 55,49,2,5
4,6,2880, 53,49,2,5
4,7,3360, 51,49,2,5
4,8,3840, 50,49,2,5
4,9,4320, 53,49,2,5
4,10,5040, 53,49,2,5
4,11,5280, 55,49,2,5
4,12,5520, 57,49,2,5
4,13,5760, 60,49,2,5
4,14,6000, 58,49,2,5
4,15,6240, 57,49,2,5
4,16,6480, 55,49,2,5
4,17,6720, 53,49,2,5
4,18,7200, 51,49,2,5
5,1,0, 60,80,2,5
5,2,1440, 48,80,2,5
5,3,1800, 48,80,2,5
5,4,1920, 53,80,2,5
5,5,3240, 48,80,2,5
5,6,3360, 44,80,2,5
5,7,3520, 41,80,2,5
5,8,3680, 44,80,2,5
5,9,3840, 48,80,2,5
5,10,4000, 48,80,2,5
5,11,4160, 50,80,2,5
5,12,4320, 52,80,2,5
5,13,4480, 53,80,2,5
5,14,4640, 55,80,2,5
5,15,4800, 56,80,2,5
5,16,5440, 55,80,2,5
5,17,5600, 53,80,2,5
5,18,5760, 52,80,2,5
5,19,5920, 48,80,2,5
5,20,6080, 50,80,2,5
5,21,6240, 52,80,2,5
5,22,6400, 53,80,2,5
5,23,6560, 55,80,2,5
5,24,6720, 56,80,2,5
5,25,7360, 55,80,2,5
5,26,7520, 53,80,2,5
5,27,7680, 52,80,2,5
5,28,7840, 48,80,2,5
5,29,8000, 50,80,2,5
5,30,8160, 52,80,2,5
5,31,8320, 53,80,2,5
5,32,8480, 55,80,2,5
5,33,8640, 56,80,2,5
5,34,9280, 55,80,2,5
5,35,9440, 53,80,2,5
6,1,0, 67,80,3,9
6,2,120, 69,80,3,9
6,3,240, 67,80,3,9
6,4,360, 66,80,3,9
6,5,480, 67,80,3,9
6,6,600, 69,80,3,9
6,7,720, 70,80,3,9
6,8,840, 67,80,3,9
6,9,960, 75,80,3,9
6,10,1080, 74,80,3,9
6,11,1200, 75,80,3,9
6,12,1560, 72,80,3,9
6,13,1680, 77,80,3,9
6,14,1800, 75,80,3,9
6,15,1920, 74,80,3,9
6,16,2040, 75,80,3,9
6,17,2160, 74,80,3,9
6,18,2280, 72,80,3,9
6,19,2400, 74,80,3,9
6,20,2520, 70,80,3,9
6,21,2640, 67,80,3,9
6,22,2760, 70,80,3,9
6,23,2880, 72,80,3,9
6,24,3000, 70,80,3,9
6,25,3120, 72,80,3,9
6,26,3480, 69,80,3,9
6,27,3600, 74,80,3,9
6,28,3720, 72,80,3,9
6,29,3840, 70,80,3,9
6,30,3960, 69,80,3,9
6,31,4080, 70,80,3,9
6,32,4200, 72,80,3,9
6,33,4320, 74,80,3,9
6,34,4920, 77,80,3,9
6,35,5040, 75,80,3,9
6,36,5160, 74,80,3,9
6,37,5280, 72,80,3,9
6,38,5400, 70,80,3,9
6,39,5520, 69,80,3,9
6,40,5640, 67,80,3,9
6,41,5760, 66,80,3,9
6,42,5880, 74,80,3,9
6,43,6000, 62,80,3,9
6,44,6120, 64,80,3,9
6,45,6240, 66,80,3,9
6,46,6360, 64,80,3,9
6,47,6480, 66,80,3,9
6,48,6600, 69,80,3,9
6,49,6720, 67,80,3,9
6,50,6840, 66,80,3,9
6,51,6960, 67,80,3,9
6,52,7080, 70,80,3,9
6,53,7200, 69,80,3,9
6,54,7320, 60,80,3,9
6,55,7440, 62,80,3,9
6,56,7560, 60,80,3,9
6,57,7680, 58,80,3,9
7,1,0, 79,80,3,5
7,2,120, 74,80,3,5
7,3,240, 74,80,3,5
7,4,360, 75,80,3,5
7,5,480, 74,80,3,5
7,6,600, 72,80,3,5
7,7,720, 70,80,3,5
7,8,840, 69,80,3,5
7,9,960, 70,80,3,5
7,10,1080, 67,80,3,5
7,11,1140, 69,80,3,5
7,12,1200, 70,80,3,5
7,13,1320, 67,80,3,5
7,14,1440, 72,80,3,5
7,15,1560, 70,80,3,5
7,16,1680, 69,80,3,5
7,17,1800, 72,80,3,5
7,18,1920, 70,80,3,5
7,19,2280, 72,80,3,5
7,20,2400, 70,80,3,5
7,21,2520, 69,80,3,5
7,22,2640, 67,80,3,5
7,23,2760, 66,80,3,5
